@mightex_spectrum_save,2,2,0
2/13/2023 2:59:30 PM
HRS-BD1-025
08-111129-003
100
0
3648
800
 1.16990209940937E+0003
-2.52531800000000E-0001
-1.12169183882358E-0006
-1.40330489239069E-0010
 4.50095619800053E+0003
-3.69114890099788E+0000
-1.62313767583820E-0004
 2.45249136909650E-0008
0
1
0
0
PixelNo,Wavelength,CCD_1,CCD_2,CCD_3,Calib_1,Calib_2,Calib_3,DarkSub_1,DarkSub_2,DarkSub_3,%T/R_1,%T/R_2,%T/R_3,Ref,Dark,Absorb_1,Absorb_2,Absorb_3,AbsIrrad_1,AbsIrrad_2,AbsIrrad_3,
0, 1.16990209940937E+0003, 4.82000000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.82000000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.82000000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
1, 1.16964956648754E+0003, 5.13000000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.13000000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.13000000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
2, 1.16939703132148E+0003, 5.27000000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.27000000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.27000000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
3, 1.16914449391035E+0003, 5.37000000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.37000000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.37000000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
4, 1.16889195425332E+0003, 4.91000000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.91000000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.91000000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
5, 1.16863941234953E+0003, 4.81000000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.81000000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 4.81000000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
6, 1.16838686819815E+0003, 5.12000000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.12000000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.12000000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
7, 1.16813432179834E+0003, 5.37000000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.37000000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.37000000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
8, 1.16788177314924E+0003, 5.27000000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.27000000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.27000000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
9, 1.16762922225003E+0003, 5.22000000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.22000000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 5.22000000000000E+0002, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 0.00000000000000E+0000, 1.00000000000000E-0007, 0.00000000000000E+0000, 0.00000000000000E+0000
