PixelNo,Wavelength,CCD_1,CCD_2,CCD_3,Calib_1,Calib_2,Calib_3,DarkSub_1,DarkSub_2,DarkSub_3,%T/R_1,%T/R_2,%T/R_3,Ref,Dark,Absorb_1,Absorb_2,Absorb_3,AbsIrrad_1,AbsIrrad_2,AbsIrrad_3
0,1.17E+03,5.68E+02,0.00E+00,0.00E+00,5.68E+02,0.00E+00,0.00E+00,5.68E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-07,0.00E+00,0.00E+00
1,1.17E+03,5.34E+02,0.00E+00,0.00E+00,5.34E+02,0.00E+00,0.00E+00,5.34E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-07,0.00E+00,0.00E+00
2,1.17E+03,5.26E+02,0.00E+00,0.00E+00,5.26E+02,0.00E+00,0.00E+00,5.26E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-07,0.00E+00,0.00E+00
3,1.17E+03,5.26E+02,0.00E+00,0.00E+00,5.26E+02,0.00E+00,0.00E+00,5.26E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-07,0.00E+00,0.00E+00
4,1.17E+03,5.39E+02,0.00E+00,0.00E+00,5.39E+02,0.00E+00,0.00E+00,5.39E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-07,0.00E+00,0.00E+00
5,1.17E+03,5.65E+02,0.00E+00,0.00E+00,5.65E+02,0.00E+00,0.00E+00,5.65E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-07,0.00E+00,0.00E+00
6,1.17E+03,5.50E+02,0.00E+00,0.00E+00,5.50E+02,0.00E+00,0.00E+00,5.50E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-07,0.00E+00,0.00E+00
7,1.17E+03,5.55E+02,0.00E+00,0.00E+00,5.55E+02,0.00E+00,0.00E+00,5.55E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-07,0.00E+00,0.00E+00
8,1.17E+03,5.71E+02,0.00E+00,0.00E+00,5.71E+02,0.00E+00,0.00E+00,5.71E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-07,0.00E+00,0.00E+00
9,1.17E+03,6.00E+02,0.00E+00,0.00E+00,6.00E+02,0.00E+00,0.00E+00,6.00E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-07,0.00E+00,0.00E+00
